tier,BZ_id,BZ_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,K25a7,Two brothers and the winged maiden,A131.7,Winged God,0.596,0.361,1
B,L42g3,Edible house,A2686.4,Origin Of Edible Roots,0.596,0.367,1
B,A32B,The Moon toad,B493.2,Helpful Toad,0.596,0.409,1
B,H7f2,Death becomes invisible,A11,Invisible Creator,0.595,0.407,1
B,K104,A red swan,E423.3.2,Revenant As Swan,0.595,0.376,1
B,F75,A siren and a tapir,A1889.1,Creation Of Tapir,0.595,0.417,1
B,A2c2,The extra moons,F961.3.2,Many Moons At The Same Time,0.595,0.518,1
B,A32I,A shepherd in the moon,N841,Shepherd As Helper,0.595,0.439,1
B,L109,The cannibal gourd,D1610.3.1,Speaking Gourd,0.595,0.493,1
B,C19,Acquisition of the sun,A1428,Acquisition Of Wine,0.594,0.368,1
B,M53B,Bag with songs,V234,Songs Of The Angels,0.594,0.536,1
B,F73A,Vulva is or thought to be wound,D1610.6.1,Speaking Vulva,0.594,0.383,1
B,F92,Homosexual play,T463,Homosexual Love (Male),0.588,0.594,1
B,M5C,The hairy octopus,B477,Helpful Octopus,0.594,0.504,1
B,K56a5d,Conversation with the Frost,V1.5.7,Worship Of Frost,0.593,0.359,1
B,G17,Gift of a reptile,A13.4,Reptile As Creator,0.593,0.360,1
B,K119b,Wild animals presented to the king,B845,Wild Animals Herded,0.593,0.462,1
B,L78,Toad-jaguar,B15.1.2.1.3,Jaguar With Two Heads,0.593,0.459,1
B,M39a4,Fool and his shadow,E421.4,Ghosts As Shadow,0.592,0.361,1
B,L9E,Copper nose,F771.1.3,Copper Castle,0.592,0.392,1
B,M128,Speckled animals,G303.4.8.9,Devil All Speckled And Spotted,0.592,0.382,1
B,G17,Gift of a reptile,B123,Wise Reptile,0.592,0.360,1
B,K99B,Eloping with the wrong man,K1317.2.2,Letter Delivered To Wrong Man,0.592,0.361,1
B,G17,Gift of a reptile,E614,Reincarnation As Reptile,0.592,0.356,1
B,I122,The Pleiades are bees,B246.3,King Of Bees,0.592,0.422,1
B,G17,Gift of a reptile,B613,Reptile Paramour,0.591,0.360,1
B,M89A,Horns of hyena,A2494.3,The Hyena's Enemies,0.591,0.400,1
B,M66A,A hill of excrements,D1610.6.4,Speaking Excrements,0.591,0.449,1
B,M29R,Trickster is a porcupine,A2376.3,Why Porcupine Has Only Four Claws,0.591,0.368,1
B,K154,A skull with an inscription,D992.4,Magic Skull,0.591,0.475,1
B,B16A,Sea from the urine,F711.2.4,Sea Of Slime,0.591,0.497,1
B,L15B,To kill with a reed,D224,Transformation: Man To Reed,0.591,0.409,1
B,K121,Wanderer at a crossroad,K1817,Disguise As Wanderer,0.591,0.389,1
B,C33,Prometeus (the chained strong man),D1711.8,Strong Man As Magician,0.591,0.456,1
B,E9i4,Crane-wife,D162,Transformation: Man To Crane,0.591,0.410,1
B,H7b2,The immortal Poverty,F259.1.4,Fairies Immortal,0.591,0.396,1
B,H36hh,Death and the frog,B211.7.1,Speaking Frog,0.591,0.362,1
B,F20A,Humans and dogs,B731.6.0.1,Polychromatic Dogs,0.590,0.472,1
B,K119A,The ungrateful master,F451.5.2.1,Ungrateful Dwarf,0.590,0.359,1
B,M90a4,The tree of gems,D475.4.2,Transformation: Lice Into Gems,0.590,0.380,1
B,I41,Rainbow serpent,A288,Rainbow-Goddess,0.590,0.363,1
B,K27n3a1,Hero’s rivals are the elements,A1260.1.1,Man Made Of Four Elements,0.590,0.453,1
B,B33F,Night that unwinds her yarn,G244.1,Witch Winds Yarn,0.590,0.422,1
